polarity,processed
joy,neng kyak bilangan knapa bang iya gada duanya sa ae june cilok gombal kang ojol
sad,dari lahir samp umur sakit gini pengen akutuh sehat walafiat tanpa penyakit satupun
netral,lagi cari wanita nih
joy,fr dong yu gue laki nih ganteng dah
sad,pengen dimanja sebelum tidur
sad,kalau kamu cari yang tampan aku mundur tapi kalau kamu cari yang rajin ibadah aku mundur makin jauh
joy,tidur guy kalian sudah bekerja kera hari ini
netral,umur nikah ideal itu menurut gue ga ada temen gue nikah dari tamat sma masih aja temen gue nikah tahun lalu cere yang pent jiwa raga siap
confused,lah ini kenapa gue jam segini belom tidur woyyy
netral,perkedel adalah singkatan dari kentang dan telor thx me later
sad,temen kelasan w dibilang hebat sama kate misteriu soalnya dia cantik tr jago masak alia ituma emg karna dia cantik makanya dipuji
netral,ada yg mau random talk
sad,fakboy everywher
joy,kata teman ku aku keren tapi kata sahabatku aku gobl g heheh
joy,udh taun tp kalo ketemu adek sepupu kita main ya gimanaya
netral,fc yuk here clean kok
anger,bosen ga bisa tidur yg haru dikerjain buat besok banyak mumet ada yg mau gua ga
netral,chat yuk kali aja move hehe gatau goodlook apa enggak hehe
sad,sabar banget dikecewain sama temen sendiri
sad,nyemprot parfum temen jpg ultra male ena uga bau nya jadi pengen beli tapi itu parfum laki
joy,ada yg mau chat disini atau move ramah dan tak sombong mba
netral,emot jeruk gue fc m
netral,tonton subcib z bagikan dan jangan lupa coment http
joy,klo ada f yg dapet wortel gua traktir nntn besok khusu bandung
sad,besok ada yg haru jadi dan gue blm mengerjakan satupun
netral,let talk about your girlfriend or boyfriend
netral,materi hk pidana ternyata banyak ya
netral,apa fantasi terliar kalian
netral,cuanki cari uang jalan kaki now u know
netral,baru balik kerja nih laper kamu masak apa mbak
sad,ngerasa kesepian
netral,chat gue coba tru endchat semenit kemudian
sad,akhir akhir ini gue nnton drakor kok gk nangi ya padah scene nya sedih apa karna drakor lama ga kan teru kenapa
netral,menurut lo kalau mantan udh ngeblock ig lo itu gimana apakah kita udh menang untuk move on f
joy,fc kuy wkwkwkkwwkkwkwkw
sad,astagfirullah lupa belum ngerjain tuga wallahiiii
sad,mutusin dengan alasan terlalu baik itu hoax ga si
sad,cukup aku rasakan ini cukup aku rasakan ini sakit sekali
disgusted,keinget temen kecil gue yang sekarang di penjara bunuh pacarnya waktu kecilnya baik banget tapi gedenya
joy,ngantuk pengen ditidurin
sad,you make me see myself in a way i dont wan na see
anger,anyeng overthink wayah gini teh sok hayang leuleumpangan di komplek
netral,chat or fc anyon f disini
netral,boleh aku add linemu
netral,deeptalk itu kaya gimana sih menurut lo
anger,indomi kuah susu terbaek fite me
joy,netflix premium spotifi premium kali aja ada yg khilaf mau preorder
netral,ini beneran ada film knock knock anjir di transtv
netral,ada cew jakarta chat kuy
netral,ayo tanya aku dengan pilihan apa aja
netral,icon apa aja move
sad,ga lolo stp bandung lagi huft
joy,kalo ada icon bi bandung besok kita bukber lah yu haha
joy,kaya nya enak nih nyanyiin pakai gitar
confused,gatau mau baha anu tp aku jg gapaham dong
sad,gue hidup bkn ngejar surga jd apapun yg gue lakuin ya yaudah aja gitu krn gue tau diri dosa gue terlalu byk dan ga pant aja gt kl mikir bakal msk surga lgsg
anger,bsjxjxndhcbcjhcbcjxhchchcjcb bjcjchcb
sad,salah memang naruh perasaan kesembarang orang
sad,heh m ga usah sok cuek yaa aku tau padah kamu ngarepin di chat lagi pa aku udah bosen sama kamu yg teru singkatin aku
joy,ada yang mau nenenin heheh
netral,ada f bandung yg suka ke kineruku
sad,posisiku saat ini serba salah bagaimana tidak jika dia tetap kupertahankan aku terlalu bodoh tapi jika dia kubiarkan lepa sakit
sad,yoo ada cew yang kesepian malam ini bisa chat mungkin
sad,kebangun belum bersihin muka ternyata
joy,gabut gabisa tidur iseng iseng kuy boleh nanya pilihan ntr gua jawab deh wkwkkw gua f btw
netral,yoo whatsapp mhamanx kembali lagi bersama bang lu bangg alex
sad,lagi cari ade adean wkwk buat lucu lucuan aja soalnya sere abang ade zone
sad,pusingggg banget yaalllah
sad,gue cowo kesepian bgt wkwk
netral,aku newbi euy baru tau ada app yg kaya ginian lagi
joy,huu chat sm org sunda disini aja seneng gua meski ga liat mukanya kea apa wkwkkw
netral,butuh teman chat yg suka begadang kadang suka gabut kalo gabisa tidur chat aja
joy,chat w dong hheheh
netral,kalo ada cowo yg bilang kangen gue gue haru gimana bilang balik kangen polo amat gua
netral,fr charact
disgusted,jika kalian para manusia beragama melakukan ritual untuk mengejar surga kalian hanyalah munafik yang penuh nafsu dan tidak sesungguhnya percaya atau beriman
netral,ikut ah yg emot panda fr yuk f
sad,yang merasa cerda mohon pm saya
fear,jadi gini aku tu gasuka kuce aku suka menggong apakah kemasukan jin
joy,rame bet ini iklan di joox
confused,mau ngechat cew yang bikin post pasti dah banyak yang ngechat tr haru apa akutu
joy,lo udh berhasil bikin gue sedikit bucin gue samp nyari nyari aplikasi anon yg lo mainin tuh apa ta i ta i wkwk ili bebe
sad,suatu saat nanti pasti akan ada seseorang yang mampu membuatmu ingin kembali untuk bangkit tak peduli seberapa seringnya dirimu terjatuh
joy,gaada yg mau fc apa ya syahdu loh m
joy,bagi playlist kalian doooong
netral,gengster tu org kurang kerjaan ya
sad,kok ngga rela ya kalo dia deket sama yang lain padah cuma temen dari smp
fear,mend beli ticket syncro yg student promo yg pass atau tunggu semua line up nya dulu ya asli takut menyes
love,is there ani guy who love paramor or bmth
confused,kok bisa ya aku tuh convobuild dan convokil di saat yang bersamaan
joy,vc yuk gini clean kok santai mhere
sad,kadang pengen minta di temenin tellizen buat nuga tapi ujungnya tuga gak malah asik chat an samp baper
joy,temenan yuk cew cowo terserah aku cew
joy,untuk kamu semoga kamu lulu stp ya biar kita ldr kan jadinya jarang ketemu tuh nah nanti perasaan ini bakal ilang dengan sendirinya selamat berjuang
joy,buat yg suka berbahasa bs mampir ke ig hehe sebentar lg akan upload tentang urusan hati
netral,udah tengah malam nih silahkan nanya privasi ke gue gue bakal cerita sejujurnya apapun yang lu tanyain
sad,yaelah mainten samp jam lagi haha
joy,everytim i close my eye i can hear the sound of the wave and the wind blow
joy,saur sambil nonton snk mantap makan sambil lihat titan
sad,newbi here buta anak tell mohon dijelaskan ke saya
anger,sebenarnya hatimu untuk siapa sih
joy,yaaa gua akuin emang gua suka mengkhay wkwkwk yg bener bener kok
love,udah dulu ya smuanya dd mau tidorr dadah mwah
sad,bersyukurlah jika rindumu hanya terhalang jarak saja bukan jasad
sad,tidur aja male dasar aku
fear,stori dilin seru ga si pengen updat tapii takut gaasik hadeu
netral,ada yang mau fc clean
netral,f bandung ada yg besok ga puasa
sad,maaf ya aku tidak pandai dalam menaklukanmu
sad,pleas yang tau skincar routin buat cowok donk insecur nih gw sama muka kusam
sad,nonton aladdin yuk gamau sendirian
joy,tapi sebisa mungkin aku pandai dalam melakukan hal yang membuat kamu tertawa
joy,pengen kerasukan emma watson
netral,ada yg nonton shawn ga oktob nanti
netral,move yu clean tapii
sad,whi you onli call me when you high
netral,kasih tau dong nge on off privat post itu gunanya apa ya apakah kalau nge on nin jadi postannya engga bisa dilihat gt
netral,halo warga tell dah lama ga nongkrong disini
netral,cewek ada bulket nya wajar ga si
anger,astagfirullah gimana sih caranya biar tidurr
netral,karena gaada yg dapet yaudh ganti jadi icon koala khusu f di bandung ya
joy,cantikk add ya buat tambahin kontak
sad,mau ngajak dia buat nonton aladin taoi dianya gamau kudu kumaha a teh male
sad,gue buka tell cuma liat tl dan ramein kolom komentar jarang chatan karna emang sepi chat wkwk
disgusted,kenapa sih kalo abi post ada aja yg nanya gue jawab aja fm
sad,semua ini tetang kesepian atau aku memang meridukannya
joy,ada yg kaya gue ga minun air putih sm es batu aduh segernya ampunn
joy,ada f yang mau fr kah wkwk
netral,rekomendasi drama thailand
netral,car fr tp yang badword adagasi wkwk m nih
joy,punya temen cew dn bisa dipeluk itu rasanyaaaa m
joy,jika aku berdosa karena mencintaimu maka aku tidak akan pernah bertobat bin abi thalib
sad,titik terendah mu dlm hidup
netral,yang gabut next pc wa dong tp yg aja wkwk
netral,np man on a wire the script
netral,ada ungkapan mani yg pingin kalian sampein ga ke kalian
joy,cew tinggi move line yuk hehe
netral,ada yang masih melek
joy,one day you have your last young and wild saturday night with the peopl you made a million memori with
sad,tuan apa kabar aku disini saja bahkan aku sudah tidak merindukanmu aku harap kamu saja dengan wanita pilihanmu
netral,love art and meme anyon same
joy,vc sama cowo goodlook yukk biar besok yg puasa jd lebih semangat here
confused,kenapa banyak yg bilang suara gua kaya om om
sad,aku tu gasuka ya klo aku suka sama kmu tpi kmu gasuka aku
joy,fr yuk move line
joy,open jasa nemenin
sad,kakak adek kok kakak adek kok kakak adek kok kakak adek kok masa jahiliyah main rp kangen
joy,saatnya nuga yayyyi yuhu
netral,sambil nunggu sahur chat line kuyi
fear,perempuan kalo sudah mulai kepo skill ngestalknya melebihi agen fbi jd ya
netral,hyyyyyyyyyy gyyi phaaa nieech
sad,astaga gue boro banget kemarin mcd sekarang kfc
sad,kangen ke coffeeshop sungguh
joy,chat yang agak seru yuk m
confused,aneh ga si suka sm orang disaat yg sama tp ini yg baru doang
joy,ada kakek kakek nyari sugar cucu ga aku mau deh kali aja dikasi sawah wkwkwk
netral,fr tuh artinya apaan ya
netral,fr yuk
sad,kerjaan gue selama bulan puasa nontonin asmr mulu
netral,kuce bisa ngentut ga
confused,bingung sama f disini ngajakin chat tapi gamau nyari topic
joy,midnight chat with honey icon mayb
sad,cinta itu sederhana ketika keduanya sale berusaha jika hanya salah satu yang berusaha itu bukan
netral,gofood jam segini ada yg ambil ga ya
sad,capee baru balik rapat temenin chat dong haha clean chat ya
netral,buat yg suka berbahasa galau bs mampir ke ig hehe sebentar lg akan upload tentang urusan hati
sad,gabut nih chat kuyi here
sad,anon gue sekarang lama mulu blsnya apa ada anon baru
love,udah lama ga di ajak move line aku aja deh yg ngajak gmn send id ya love mwah
sad,and even when i need space and do mean the word that i say pleas do go too far away so when it feel like we break will you know how to hate me and love me again
anger,aku kesel disaat aku pengen fc dia engga bisa giliran dia pengen fc aja aku jabanin tr hm
sad,love my self is the hardest thing i ever had to do but im tri to gausah sok peduli gua m
netral,apa si yang buat kalian senang
confused,kalo chat sama stranger ato orng yang mau di pdkt lancar banget giliran sama pacar malah bingung pertanda apakah ini
netral,siapa yang silent semua group wa angkat kakiii
netral,bagi kaum hawa memakai b r a seharian terasa menyiksa dan tidak nyaman di samp semua itu benarkah memakai b r asehari penuh buruk bagi kesehatan
anger,tawuran sini kita gan tp gue nonton doang
netral,caranya tau cowo tuh cuma manasin doang gimana sih
netral,freecal via kuy f atau otp tp tsel yaa
confused,i do know how to respond to that or i guess it more like i not sure if i should
sad,kamu selalu nungguin dia onlin kan tapi pernah ga sadar onlinenya dia sama sekali bukan untukmu
sad,gada yg mau nemenin aku gitaran apa
netral,udh berapa kali kamu liat storri snapgram dan snapwa apdet bukber sama nya
sad,kenapa bagian gua yg bu gak ada yg nolong sih bagian pada bu kalo gua lg ada pasti ditolong sedih gua tuh
joy,whaaa tell skrg keren tampilannya
netral,tolong gambarkan diri gue
joy,freecal lewat apa aja yuk gue jabanin mhere
joy,fake relationship prefer yang humori lol
joy,vc yukkk hehe gabut bat dah
joy,chat yukk beba f heree
sad,leav is better than tri
sad,kadangkala hanya butuh pendengar setia segala keluh kesah kita jadi pendengar saja cukup kok
joy,baru bangun dan dengerin instrument jazz music di laptop dengan suasana yg tenang g ada suara knalpot motor yg nyalain kembang api toa mesjid dan kokok
sad,aku gabisa tidur kalo tdr acnya dibawah aku gabisa tdr kl blm minum susu bear brand aku gabisa tdr kl blm liat
netral,ada yang tau cara pake tinder
joy,eh ada yg main mobel lejen mabar yukkk br donlot lg ni ehe
joy,chatt yuuk bintaro nih
sad,wifi kenapa engkau tak bersahabat
joy,f ada yang ingin kuy skrrrt
netral,ada yg bisa deskripsikan gue
joy,chaaaaaattttt im femal
sad,galau bgt anjirrrrrrrr
joy,and servic the compani salesmen also bid an opportun to earn some profit
sad,mau tidur tp takut kesiangan saurnya tp kalo gatidur gatau hr ngapain huhuu sad
joy,reddoorz kuy jaksel
netral,planetarium dimana ya ada yang tau
joy,baru tau kalo mahasiswi ut bisa setangguh secantik itu hebat kang ojol
sad,mo ngajakin warga tell bukber tapi aku sendiri jg miskin gasanggup
netral,comment klo lu bisa nebak tmpt lahir gua gua kasih ig gua tapi klo gua bisa nebak tempat lahir lu lu kasih ig ke gua sok comment
confused,abi baca wattpad hm
netral,udh pd tw blm klo line ada fitur stori nya
joy,open jasa nemenin ngopi
joy,enaknya share setan nihhh
sad,gua rasa hukum karma emng ada yah gua diem diem chatan smaa cwe lain di wa dan tell hmm eh tau taunya cwe gua juga ternyata dan kita sale nutupin pa ketauan cukup
joy,open q a aja gabut banget silahkan guy tanya apa aja di kolom komen
joy,hago yuk f m disiniiii
netral,bagaimana caranya untuk memulai pdkt yg baik dan benar yg ga bikin target kita risih sama kita
love,lemah banget sama cowo yang cinta kuce
sad,ih kok sepi sihhhhhhhhh
sad,kamar gue kayaknya terlalu lua untuk dipak tidur sendiri gada yg mau kesini temenin tidur gitu
netral,line me m kuy yg atau sebagainya
joy,mau cerita kenal sama stranger tapi berasa kaya udah kenal dari lama dia seru banget diajak ngbrol sere ngingetin buat aku biar percaya diri
anger,biasanya dr jam telfonan smpe saur ditemenin nah skrg sklinya dia ngilang auto negatif think hadeuuuuu alay bgt gue naji bucin ewh
netral,kok pa gue mau nge react ig stori temen gue kok pa dipencet repli gak muncul ya emot emotnya
netral,kerjaan lulusan psikolog di tahun ini peluang nya gimana ada yang tau
joy,suka ngayal gua nikah gitu tr nungguin suamik pulang wkwk cute sekali
anger,ngajak vc ps hs soft swing minta pap tt udah kek ngajakin beli chatim pake promo grabfood ngegampangin bgt
netral,rekomend tempat facial yg bagu dong didaerah jaksel
disgusted,kenapa sih ngajakin bukber tapi nyari tempat yg bagu wkwk mau bukber apa foto sih kalo foto mah ga pa bukber bisa lagian sebenernya yg dibutuh konten stori bukan
sad,gua gabut chat yuu
sad,maap sheyenk jhonwick lebih menarik ktimbang kamu
sad,skrng lg usum kan kalau ada yg ultah pd ngesgin yg ngucapin tr kmrn aku ultah dan ga ngepost di sg hasilnya keliatan mana yang inget mana yang engga
netral,cowok biasanya sere nangi karena apa
sad,asli ya aku mau dichat tp maunya sm dia sm yg lain mah ml wkwk
netral,buat yg suka berbahasa bs mampir ke ig hehe sebentar lg akan upload tentang urusan hati
confused,dosa gasi kalo dia chat aku kamu tapi gue nya kekeuh make lo gue
sad,gabuttt bgttt ehh
netral,skrg tell ngk nongol notifni ya
netral,disini cowonya kebanyakan yg ome apa sholeh
netral,ada f yg suka di oral ga chat dong
confused,lg suka sm cowo yg kata jelek tp menurut w menarik ya walaupun ga cakep jg si tp enak dipandang gitu lho apa cuma w aja yg nganggep menarik kali ya
sad,you the reason whi i ca listen to those same song i use too
sad,salah ga si kl gue ilfeel sm gebetan gue krn dia ga mau puasa grgr ga kuat kl ga ngerokok
netral,ada f yg berhijab chat dong
netral,jadi pengen melihara macan sama gajah
confused,masih agak bingung sama app tell
netral,ada yg pengen nanya engga nanya apa gituuu
sad,daripada sagn mend gue tidur
joy,open jasa nemenin bobo
disgusted,herann sama yang masi suka nyosor nyosor di bioskop wkwk pihak bioskop punya kamera yang bisa lihat dalem gelap lhoo wkwkwk
netral,gw mau ngobrol ada yang mau fc
netral,lagi sng f yg mau chat m
netral,hai ada yang punya topik dan mau chat
sad,udah sebulan pisah ranjang
sad,chat dia ga dibal jadi kepikiran kalo ga chat kangen dasar bucin ngaca napa sih gue siapanya
netral,ada yang kuliah di uhamka pasar rebo
netral,night call
joy,gue buka jasa admin olshop yaa dijamin fastresp dan gue jg buka jasa ketikk hehe murahh kok
sad,pengen punya anak cewek
netral,lagu fav kalian dari apa guy
sad,gw dulu waktu msh sd smpe smp sere dipukul temen sekolah pdhl gw gasalah apa apa skrng ada rasa pengen mukul mereka
sad,entahlah dia yang play victim dan bercerita ke seolah gua yang bikin kecewa atau memang dia kecewa sama suatu tindakan gua
netral,ehh kalian dom mana aja nih
sad,butuh ngobrol nih biar ngantuk prefer yg sama umurnya ya
anger,sebel bgt lain kali gamau berharap lah ya biar gak dikecewain mulut mani tanda banyak bullshit
joy,gue nonton let fight ghost
sad,gabisa tidur chattt kuy f
joy,diumur segini mah udah ga ngarep di surprisein ngapain juga at least inget aja udah happi ko
fear,ihh astaga gila gw kan fc ama cowo sini eh dia malah mesum anjer aelah asataga takut gw
sad,mau dinyanyiin naif benci untuk mencinta
netral,coba aja tell ada fitur night modenya
sad,gabisa tidur chatt kuyi
joy,cowo manja ada ga hehe sini km
sad,pengen dah fran sama cowok posesif tapi anon aja huhu fff
netral,gonjabi gondrong jaman nabi
sad,gatau ah capek mau jadi
netral,tell tuh gada tempat notifikasi nya ya
netral,emang bener kalo mata silind ngelahirin gabisa normal
netral,teman ngobrol awet okay
sad,gue lagi pengen nangi tapi ga ada yang bikin gue sedih biar nangi ngapain ya
netral,anyon up for a chat clean f
anger,ah sue bat dah gua beli lilin aromatherapi gada anjr padah gua bakar sekaligu
joy,ada yang tau mordelent
joy,lalu
netral,let have a midnight talk gak pli here
confused,tidur ga ya mau tidur tapi ko nanggung
sad,pleas nyanyiin aku sebuah lagu barat pli f
netral,wow i set my alarm for but i havent sleep yet
joy,open jasa pacar onlin
netral,kalau orang maaf kaya raya ada yg main app beginian ga
sad,sepi ya ga ada f yang masih bangun
netral,ayodong drop lg seru juga yg kaya gitu
sad,tidak perlu mencari alasan kesana dan kemari bicarakan saja jika kamu sudah tidak ingin melanjutkan hubungan ini karena siap atau tidak siapnya aku kamu juga akan
netral,disini ada yg pernah dapet panggilan te dari shope di sopodel tower mega kuningan untuk bagian warehous
netral,ada yg punya kenalan kerja jd bank ga ya disini
love,those who were born repuls mostli found love as the drive forc behind their action toward the one they
netral,btw mau nanya kalian yg cowo umur prefer punya pacar yg jarak umurnya jauh atau ga
sad,gw tuh akrab banget sama temen di sosm tp canggung kalo ketemu wkwk
netral,kalian malu ga kalau ketauan sama temen main app anon
netral,ada yg mau cium komedo aku ga m
sad,tiap hari sih chatan tapi giliran kaya gini posisi dimana gue lagi butuh seseorang dia malah ngilang jadi uat mikir dua kali
netral,ayo fc biar ga disangka cowok tapi siapa juga yang mau ngeayoin
sad,skypecal kuy girl gabut krn insom beba deh mau curhat apa aja dan mau ngobrol apa aja terserah samp sahur pun jg gpp wole deep voic
netral,pillow chat samp ketiduran whi ye
joy,gua kalo nanti ada yg deketin dan ngajak seriu gamau ke temen ah biarin aja dia ngeledekin gua teru nanti gua ngundang mereka ke lamaran aja
sad,i do think my dream will come true so i make anoth one
netral,telfonan temenin samp ketiduran sini
sad,kenapa ya suka bgt jilmek
netral,ada yang mau jadi orang yang baper sama gua
joy,chatt yuk beba heheu
netral,teriakan cowo pa malam pertama gmn
sad,temen gue kena musibah teru dia nangi dipelukan gue gue jadi ikut sedih soalnya kaki gue diinjek m
netral,ayo call line gabut m clean
netral,freecal deeptalk malem ini aja abi itu udah
netral,cowo besok berkeluarga pengen punya anak berapa coba jawab
confused,bokap udah gabisa nafkahin gue haru gimana
sad,kalo pacar kerumah jam udah dikodein suruh pulang sama tapi giliran sahabat cowok yang emang udah kenal banget jam segini malah ditawarin makan dulu
netral,gue gak suka es krim tapi barusan liat iklan cornetto silver queen jadi penasaran
fear,yg di bandung nntn brightburn yu gua nntn di king s land aja cgv terbaru gua pemalu takut diliat banyak orng jadi nntn di tmpt yg baru buka
sad,jam segini dengerin lagu waka waka e e aku kenapa
sad,kenapa selalu ada rasa sedih pengen nangi tapi gatau apa penyebabnya si anyinkkkkk
netral,chat tp gua gak bisa cari topik m
sad,akang upi kacamataan mana nih a baru buka tell lagi
netral,fr yukkk samp ngantuk f
joy,anak nya dikit ajaa bikinnya yg banyak
netral,apakah bikin orang geme termasuk perbuatan tidak terpuji
netral,kadang gue kepengen punya kakak yg bisa bantuin ngerjain tuga yg bisa di jadikan temen curhat maen game nemenin telfonan tp ada yg mauga jadi kaka gue
confused,jadi gini memori telpon gua udh hampir abi gua bingung mindahin semua sm video gua kemana
sad,gue pgn bgt make up biar pede buat kereunian nanti
netral,kenapa banyak orang suka berasumsi kalo orang yang deket sama dia baper padah orang yang dia kira baper emang baik sama semua orang
netral,perempuan yg bisa gitaran upload coverannya kemari dong
joy,para ladi yang lagi pengen chat sini m
netral,kalau mandi jam segini batal puasa ga m
sad,we smile but we close to tear
love,jujur gw sbg cowo ga peduli lu gendut kuru sumpah kalo kita udah sayang mah yg ky gitu gapeduli udah syg makan aja itu es krim pizza baso burgernya gausah takut gendut
sad,ini knpa si laptop gw eror jd pa mau ngetik password gt gak bisa di klik
netral,ada f yg suka di oral chat dong
netral,fc yuk clean kali aja ada cwek mau
netral,sekarang cew kalo berkeluarga pengen punya anak berapa
joy,cewek yang jago main gitar kirimin ke gue dong coveran
netral,gimana puasa kalian banyak yang batalkah
sad,okay saya berkutit dengan tuga sarungan pake kao gtu aja teru setiap malam
sad,pacaran yuk wkwk tapi gue gondrong tru muka gue seren katanya
sad,sahurnya disuruh order order apa ya mcd bosen tapi
sad,gue butuh spoiler got pleas
anger,kenapa sih lu block gue gue gasalah woi gue tidak krimin thdp keluarga elu tidak mencuri kerudung ibu lu dan
joy,pejuang kuota malem
netral,ada yang gabut fc yuk
anger,ngeluh di app anon gak ketemu jawabannya yg ada cuma orng pandai bacod dan sok ahli wkwkwk
netral,pillowtalk anyon here hehe
netral,ehh kalo line gue di block sm org tr org itu ganti dp line tetep muncul di recent updat gue ga si
netral,skype or line call
joy,memang yg haram itu mudah kalo bu cew tinggal jual diri kalo cowo tinggal jual narkoba jd kurirnya dll halal itu berat maka dr itu kita haru berjuang
netral,chat yuk first time main app tell masih polo mantan alter m
netral,ada f yg mau di jilmek ga chat dong
netral,kuncir rambut dl oke
joy,enaenaenaenaenaenaena
sad,hmm bete chat asik yuk m here yang gitulah paham
anger,ga peka lo gue lagi sange anjir
anger,bull s h i t
sad,gatau ah capek pengen
sad,kyknya baru beberapa bulan yg lalu curhat lg suka sm cowo tru sekarang curhat lg dgn topik yg sm tp beda subjeknya dasar aku
joy,ada f depok yg free besok temenin nontn yuk
joy,untung saya nggak ganteng
netral,f chat gua gua mau vc dan telponan
netral,ketik saya gatau haru bagaimana lagi pake bahasa daerah anda
netral,adakah f samp klo ada pc ya m here
sad,dan kegabutanku masih bertahan samp sekarang
sad,sepi amat mend chat gua dah m
joy,you can talk or call everyth to me it is okay m
netral,ada f yg domisilinya di jaktim ga chay kuy
netral,kenapa eksperimen skala atomik dapat menunjukan terjadinya dilatasi waktu tell me
sad,puasa gue banyak batalnya
netral,kalo ga ada benefit mend cau
netral,yu nih ajarin tapi
netral,jawab jujur kapan terakhir kalian salam tangan ke ibu
sad,besok masih ukk ya rabb
confused,bisa kagak ya nanti jawab pelajaran fisika asli gw kagak tau dah
netral,http
joy,enakin gw dong ada feedback ko gw m yg domisili jkt dpok chat yaa khusu f
netral,bisa ngobrolin apa aja samp ketiduran
joy,hit me up through chat talk everyth you want
sad,boleh gaksi gua ngeluh gua keganggu sama renovasi musolah deket rumah gua yang jam segini huf berisik
sad,jeremi zucker dan chelsea cutler emang pale bisa bikin galau
disgusted,cowo kayaknya anti banget ya chat sesama cowo makanya pake m di belakang padah banyak hode yang mengincar gender m itu buat
sad,cant sleep gettin sweat caus of pln mati lampu cepetan idupp
netral,ada yang bisa roleplay gakk f here
anger,aku gasuka ya tadi kamu ajak chat eh malah kamu yang ketiduran
joy,anon dari sini move chat dan awet alhamdulillah kalo sale respon ramah tuh jadi bisa berteman
netral,bandung ayo chat malam malam
anger,temen smp gue yg pernah ngajak gue visi teru tiba tiba pergi gt aja gue di block setelah dia pua minta minta maaf di ig nanyain kontak gue ke temen gue yg lain basi
joy,vc yukkk f yg pgn mumpung sepi hehe
netral,yang tak wajar itu kamu menspesialkan semua perempuan yang kau dekati ingat ya spesial itu tertentu bukan beregu iya iya ini terakhir buat malam ini
sad,kangeeeeeen bangeeeeeeeeet
sad,kangen dengerin lagu ask alexandra pierc the veil sleep with siren mcr all time low bmth sama bvb adakah yang masih dengerin lagu di ata
joy,mani peopl say i should be happi well i am happi right now happi doe mean i had to have a boyfriend spend time with my close friend it more than enough
joy,rp yuk tp dirrtyy wkwk
joy,salah gak sih kalo gue ngerasa lebih segalanya dari kalian semua disini hehe
love,i know if you dont but if i ask you if you love me i hope you laaaaalalala lie to meeee
joy,mutualan di twitter woiii
sad,gua kenapa jadi kangen pacar orang ya gua m
sad,ya allah kaget pa ngaca ada raziaan jerawat
sad,main sendiri gaenak bgt ish
joy,chat dong yg f male scroll nih hehe
anger,menyes ku menerima mu lagi setulu hati ku kira kau berubah ternyata tidak koentoel wkwkwk astagfir sabar anjay
sad,ini gua abi gajela pm dan gabisa tidur sekarangg padah ntar sahur sama masuk kantor jam setengah
sad,jadi ceritanya gue pengen ngobrol nih lagi suntuk mumet ada yang mau freecal gue btw
netral,percaya tidak kalau dilan itu aku
sad,yakinnya dia punya temen chat selain gue dan dia juga berprilaku ke org lain sama layaknya ke gue i know tp kenapa gue masi aja ngejaga perasaan dia ata sglnya
sad,you are the one but you were born to say goodby
netral,w nntn up salah locationnya susukan td ada anon loc itu jg itu dmn yaaa
netral,nggg taken for grant tuh kalo di indonesiain apa ya
sad,heeeuuu pen kisseuu tp maunya sama si ma mantan
netral,ayo chatingan freecallan juga ga asal kamu mau curhat mah m
sad,butuh partner f buat foto euy khusu jangan ngere dulu ya yang tertarik dan mintan penjelasan bisa pc atau komen
sad,hey mama do stress your come home mama we gon na be alright dri those eye
sad,so go ahead and break my heart again leav me wonder whi the hell i ever let u in
netral,yang nanya umpn jakarta pendaftaran dibuka mulai besok geng
joy,ada ibu ibu anjay ada bapa bapa anjay ada tant tant anjay
fear,gw berasa trauma rasnya ketemu anon sini chat tr fc menit tr dia mesum parah gw takut
netral,hey male would you to talk i whisper you
love,and i wa born to tell you i love you
sad,sbnrnya biaya kuliah ptn sama pt tuh ga beda jauh gasi knp samp ada yang rela gapyear amp taun gt sayang wktunya
sad,saranin lagu yang enak dideng pa suasana melow gt dong gaiiii
sad,mau tidur jam brp juga tetep aja jomblo
fear,gua udh tahun maen aplikasi kaya secret tell whisper tinder tapi gaberani meet lansng karena gaada yg cakep wkwk gua m btw
netral,vidcal sabi lah sambil nunggu sahur m
netral,butuh teman pengantar tidur tolong dong fc kirim id f
anger,kok udah jam segini siiii
sad,comfort me ye
anger,perutnya pana abi mkan sambel terasi yaa lorrd
joy,untung ya besok gada kela
sad,u do know how to love me when u sober
sad,pgn punaa iphon
netral,mau dong dinyanyiin biar gua bisa tidur
sad,peopl around u stay and gooo nad kalo cuman cowo kayak gt mah iklashin aja masih banyak kok
anger,bosen sama tangan mulu anyink napa si
netral,gue butuh asisten tapi tinggal disini kerjanya cuman nemenin gue aja sama kerjaan gue yaa gak ribet lah ada yg mau
netral,butuh temen chat barangkali f
joy,wildfir ena bgt sumpah
joy,yadong nih asik asik jo
joy,f di sini yg male pacaran karena merasa pengen have fun dulu m
joy,oh gua tau disini makanya gamao vidcal kenapa wkwkwk
netral,f wan na rate mine let chat m
anger,ngantuk tapi gabisa merem maunya apasi bambank
fear,menjelang horor di ko gua
sad,stress lg nilaiku ada yg c guy
netral,ada yang mau dibincangkan melalui suara
sad,pengen gitu punya temen chat spesial setiap hari kaya rang orang
netral,ayo chat hehe tapi tidak menerima obrolan rate tenkss
sad,gue pengen gitu ngerti rasanya dingertiin
joy,f ada yang mau dienakin pake gaya boleh katak boleh gaya dada ga masalah gaya siput apalagi yang pent dienakin
