polarity;text
netral;"""Kenapa kalo cewe jual diri lebih mudah, sedangkan cowo lebih susah ya?"""
netral;"""Mabar em el yu, dapet team ampas terus klo main sendiri. M"""
sad;Butuh temen chat yang humoris
sad;"""https://drive.google.com/file/d/1f2r4WKjmvuxzjirHPQmSL7znC5CjO7_S/view?usp=drivesdk mampus, malem"""" galau(:"""
joy;F hijab chat yuu pengen deh gemesin M
sad;"""Do you miss me like i miss you??!! :"""") """
netral;cewe jakartanya gaada yang mau moveline ya ? m19
joy;cscsan yuuuuuuuuuuuuu
sad;Pengen ganti karet rasanya. Bosen
netral;"""Kalian yang hts an, nikmat ga? """
joy;Hi tellizen. Banyak yang berubah ya setelah sebulan kebanned. Ikutan puasa maen tell kwkwkw
netral;guys menurut lu apa penyebab pacar lu gak percaya sama lu? padahal lu selalu jujur dan gak pernah boongin dia tapi dia ttp aja gak percaya
anger;Gabisa tidur !!! Gua harus apa coba zzzzzz
sad;"""Aku selalu menomorsatukan kamu, tapi ternyata kamu menomorduakan aku karena dia untuk kesekian kalinya. -00.17"""
joy;"""chat yuk apa aja, mau curhat kek atau apa terserah f19 here"""
joy;"""ANON=ORG YG GA DIKENAL, AING KAN GAKENAL SMA PNUMPANG AING, BRARTI TIAP AING NGOJEK, APAKAH BISA DISEBUT MEETUP SAMA ANON? ??????[KANG OJOL]"""
netral;"""Bagi para cowok yg udah pernah pegang b o o b s cewek diem-diem, apa yg kalian pikirkan kalo ketemu cewek itu lagi?"""
sad;Sakit banget yaAllah moga dosa dosa gue jadi berguguran karena ini:(
sad;Ada yang belum tidur? Temenin dongg sebelum tidur:( f here
netral;Saran parfum indomart/alfamart yg enak wanginya + harganya buat cewe dong
netral;Temenin gue chattan yuk sambil nunggu masker kering
sad;Bosen jomblo pengen pacaran tapi males pdkt
netral;Yaudah ayo chat apa aja wkwkkw ak 17th neh
joy;"""kalo kamu cari cewe yg pas tidur palanya ngadep utara tp pas bangun ngadep selatan, aku maju paling depan."""
joy;Pum pum pum pum pum pum pum
confused;Aduh pengen Indomie tapi nangung
sad;"""Nasib anak rantau kmrn vidcallan sama mama terus hari ini vc lagi terus katanya """"MasyaAllah itu baju gak ganti dr kemaren apa gak mandi dr kemaren?"""""""
netral;"""Saran nih, lanjut S1 apa tetep D3?"""
anger;Ini geng motor maksudnya apaan si bgst ga jelas bgt idupnya
anger;DO YOU KNOW WHAT IT FEELS LIKEEE LOVIN SOMEONE WHO'S IN A RUSH TO THROW YOU AWAYYYY
sad;"""Dear mantan ku yg follow aku pake fake account. Tuh coba geura tingali story urang, maneh kan meni kepo ka hidup urang. Da urang mah nyaho, aih maneh teh kangen kan"""
joy;Ada yang mau mabar pubgm? Main seru-seruan aja.
sad;"""gw sama dia """"just a friend' tapi di bioskop tiba tiba pegangan tangan, maksudnya apa?:("""
sad;Eh gigi w ngilu bet deh abis makan sari roti sandwich coklat yg bungkusnya beda itu uda dr td sampe sekarang masi ajaaa harus digimanain sih gesss :(((
joy;ehhhh ada kang ojol muncul lagi
sad;"""Menghapus file screenshot: """"ini penting"""" """"ini juga penting"""" """"ini siapa tahu juga penting"""" """"kayanya semuanya penting deh"""" pada akhirnya ga ada yg dihapus. Dasar aku."""
anger;Baba boleh kan aku report orang yang melanggar di tell
sad;"""Bisa lho ya gua badmood padahal pengen bgt vc tadi, gara2 liat muka gua lebar, padahal emang lebar asli :)"""
joy;Ini gaada yang mau chat? Bebas dah terserah
joy;Chat yuu pengen deh chat f hijab hehe m
joy;"""fr, anyone? hehehe (f 19)"""
joy;a whole new world udh gua puter berapa kali itu ahaha gabosen2
sad;does the thought of me keep you up at night?
sad;iseng2 install badoo ngakak sendiri gua:(
sad;Gila gila. Liat postingan doi sama cewe barunya aja sesedih ini. Gila gila.
netral;"""Tata Cara tidur, merem ????????"""
anger;"""Orang seenaknya banget komen, """"mati aja deh lo."""" Pernah mikir nggak kalo dia beneran bunuh diri saat itu juga pas lo komen begitu? """
joy;rp yuk. pengen nyobain wkwkw
sad;"""Kalo chat gak pernah awet, emang dasarnya gak asik dan gak bisa cari topik :(, laki macam apa ini"""
sad;Gua kangen sama mantan yg udh 8tahun lalu putus
netral;"""Mau nanya ke f, ada yg bisa review bio oil? Bener ga bisa ilangin stretchmark?"""
netral;Kawat gigi boleh gasih dalam islam?
sad;"""Perempuan itu sederhana, yang bikin rumit, moodnya. -00.21"""
joy;bersenggama onlen yuk- f
netral;dermatix berapaan siii
sad;"""Crush cuma ngeread WA, chat lagi apa diemin? """
netral;https://t.co/LxRixqeiPx ayo kejang2.
sad;kangen sm anon yg ngenalin gue sm lagu2nya adhitia sofyan :( sampe bikin gue sebucin itu sm lagunya bang adit.
joy;Chat yuu pengen deh gituuu hehe M
sad;Pernah ga kalian di pukul sama orang tua sampe memar knp ga dibunuh aja gtu ya nanggung klo emg ngerasa gue ini beban mereka
netral;"""Fc aja deh gajadi vc, langsung fc duluan aja ya. Id : gelombangnestapa"""
sad;"""Gw f, tahun ini 24 tahun. Tp masa blm ngerasain kondangan bareng partner :("""
love;Is this love or me being obsessed over someone???
anger;"""Sampah bgt org yg ngejokes jomblo, udh galucu ler. *gw bkn jomblo"""
joy;fc while i sleep. i rlly need one. thank you. f20+
fear;"""Besok hari terakhir uas, doakan aku wahai tellizen"""
sad;Kangen dikelonin vano:(
love;Banyak yang pengen pacaran tapi males pdkt. Gua juga. Pas banget dapet doi yang tau2 ngajak nikah tanpa pdkt. Gila random abis untung sayang
netral;Chat yuk. Random aja...f
joy;Mending main Hago aja yuk? Baru download neh.
netral;Ada yang edo itu apaan ?kepo deh
joy;"""f21, cantik? baik gak sombs?? jomblo merapat???? greet??"""
joy;"""Open Q&A nih hehe m20, lagi skripsian"""
netral;Temenin gue chat yuk sampe sahur nanti . M22 here
sad;"""Fajar pagi mengajarkanku, tentang langit yang sama sama kita tatap, tidak menjamin kita bisa bersama. -00.23"""
sad;"""Share dong, pengalaman kalian dapet omongan gak enak soal fisik..."""
sad;"""salahku sih, ga pernah cerita apa2 sama orang rumah. jadinya pada gatau kalo aku butuh support, bukan cuma dimarahin doang hehehehe"""
sad;"""It's become a habit for me to lie down in bed, listen to gymnopédie no.1, and hoping this sleep would end up being my eternal repose. """
netral;Ada yang pernah rep2an/ketindihan/sleep paralysis/gatau apa kalian nyebut nya. Share dong gimana bisa gitu?
netral;Ikon sandwich gue fc. F.
sad;"""makan es buah sisa buka puasa tadi, udah mau hampir abis eh baru nyadar kalo udah dikerubungin semut. Yaaah maap ya mut dan keluarga yg ditinggalkan :("""
joy;"""??neng kyak bilangan ganjil.|??knapa bang?|??iya, gada duanya ??|??SA AE JUNED CILOK ??[GOMBAL KANG OJOL]"""
sad;Dari lahir sampe umur 20 sakit gini. Pengen akutuh sehat walafiat tanpa penyakit satupun :(
netral;"""Lagi cari""""wanita nih #m20"""
joy;fr dong yu gue laki nih ganteng dah
sad;Pengen dimanja sebelum tidur:(
sad;"""Kalau kamu cari yang tampan aku mundur, tapi kalau kamu cari yang rajin ibadah aku mundur makin jauh."""
joy;Tidur guys. Kalian sudah bekerja keras hari ini:)
netral;"""Umur nikah ideal itu, menurut gue ga ada. Temen gue nikah dari tamat SMA, masih baik2 aja. Temen gue nikah 3 tahun lalu, cere. Yang penting jiwa raga siap"""
confused;Lah ini kenapa gue jam segini belom tidur woyyy
netral;perkedel adalah singkatan dari 'persatuan kentang dan telor'. thx me later??
sad;"""Temen kelasan w dibilang hebat sama kating misterius soalnya dia cantik trs jago masak. Alias ituma emg karna dia cantik makanya dipuji, """
netral;Ada yg mau random talk ? M19
sad;Fakboy everywhere??????
joy;"""Kata teman ku, aku keren, tapi kata sahabatku aku gobl*g hehehe"""
joy;Udh 19 taun tp kalo ketemu adek sepupu kita main perang2an ya gimanaya
netral;Fc yuk m24 here clean kok
anger;Bosen ga bisa tidur yg harus dikerjain buat besok banyak mumet. Ada yg mau gua kata2in ga?
netral;"""Chat yuk, kali aja move hehe. M19jkt, gatau goodlook apa enggak hehe"""
sad;Sabar banget dikecewain sama temen sendiri
sad;Nyemprot parfum temen jpg ultra male ena uga bau nya jadi pengen beli tapi itu parfum laki :(
joy;"""ada yg mau chat, disini atau move ramah dan tak sombong mba :) m22"""
netral;Emot jeruk gue fc. M....
netral;"""Tonton , Subcibe z Bagikan .. dan jangan lupa coment https://youtu.be/ef-b7gcL36U"""
joy;klo ada f yg dapet wortel gua traktir nntn besok. khusus bandung
sad;"""Besok ada 2tugas yg harus jadi, dan 00.26 gue blm mengerjakan satupun"""
netral;Let's talk about your girlfriend or boyfriend
netral;materi hk pidana ternyata banyak ya....
netral;Apa fantasi terliar kalian?
netral;Cuanki = cari uang jalan kaki ??now u know
netral;"""Baru balik kerja nih, laper. Kamu masak apa mbak?"""
sad;Ngerasa kesepian ????????????
netral;"""Chat gue coba, trus endchat semenit kemudian."""
sad;"""Akhir akhir ini gue nnton drakor kok gk nangis ya :( padahal scene nya sedih, apa karna drakor lama? Ga kan :( terus kenapa :("""
netral;Menurut lo kalau mantan udh ngeblock ig lo itu gimana ? Apakah kita udh menang untuk move on ? F
joy;fc kuy wkwkwkkwwkkwkwkw
sad;astagfirullah lupa belum ngerjain tugas wallahiiii
sad;Mutusin dengan alasan terlalu baik itu hoax ga si
sad;Cukup aku rasakan ini cukup aku rasakan ini sakit sekali
disgusted;Malem2 tiba2 keinget temen kecil gue yang sekarang di penjara gara2 bunuh pacarnya. Waktu kecilnya baik banget tapi gedenya amit2
joy;Ngantuk pengen ditidurin
sad;You make me see myself in a way I dont wanna see
anger;Anyeng overthinking wayah gini teh sok hayang leuleumpangan di komplek :((
netral;"""chat or fc anyone F, M19 disini"""
netral;Boleh aku add linemu? M19
netral;Deeptalk itu kaya gimana sih menurut lo?
anger;INDOMI KUAH SUSU TERBAEK. FITE ME????
joy;Netflix premium spotify premium. Kali aja malem2 ada yg khilaf mau preorder ??
netral;Ini beneran ada film knock knock anjir di transtv?
netral;ada cewe jakarta ? chat kuy m19
netral;Ayo tanya aku dengan 2 pilihan apa aja
netral;icon apa aja move line-m
sad;Ga lolos stp bandung lagi.. huft
joy;"""Kalo ada icon bis, bandung. F. besok kita bukber lah yu haha"""
joy;Kaya nya enak nih nyanyiin pakai gitar
confused;Gatau mau bahas anu tp aku jg gapaham. Sharing2 dong
sad;Gue hidup bkn ngejar surga. Jd apapun yg gue lakuin baik/buruk ya yaudah aja gitu. Krn gue tau diri dosa gue terlalu byk dan ga pantes aja gt kl mikir bakal msk surga lgsg.
anger;Bsjxjxndhcbcjhcbcjxhchchcjcb bjcjchcb
sad;Salah memang naruh perasaan kesembarang orang(:
sad;"""Heh m, ga usah sok cuek yaa... Aku tau padahal kamu ngarepin di chat lagi pas aku udah bosen sama kamu yg terus singkatin aku (:"""
joy;ada yang mau nenenin heheh
netral;Ada f bandung yg suka ke Kineruku?
sad;"""Benar-benar posisiku saat ini serba salah. Bagaimana tidak, jika dia tetap kupertahankan, aku terlalu bodoh, tapi jika dia kubiarkan lepas, sakit. -00.30"""
sad;Yoo ada cewe yang kesepian malam ini ? Bisa chat mungkin
sad;"""Kebangun, belum bersihin muka ternyata??"""
joy;"""Gabut gabisa tidur, iseng iseng kuy boleh nanya 2 pilihan ntr gua jawab deh wkwkkw gua f btw"""
netral;Yoo whatsapp mhamanx kembali lagi bersama bang lu bangg alex
sad;Lagi cari ade adean wkwk buat lucu lucuan aja. Soalnya sering abang ade zone :( m24
sad;Pusingggg banget yaalllah
sad;Gue cowo kesepian bgt wkwk
netral;Aku newbie euy baru tau ada app yg kaya ginian lagi
joy;Huu chat sm org sunda disini aja seneng gua meski ga liat mukanya kea apa wkwkkw ?
netral;"""butuh teman chat yg suka begadang, kadang suka gabut kalo gabisa tidur. M22 chat aja."""
joy;chat w dong hhehehe - f17
netral;"""Kalo ada cowo yg bilang kangen gue, gue harus gimana? Bilang balik kangen? Polos amat gua"""
netral;Fr? (20 characters). M2*
disgusted;"""jika kalian para manusia beragama melakukan ritual untuk mengejar surga, kalian hanyalah munafik yang penuh nafsu dan tidak sesungguhnya percaya atau beriman. m20"""
netral;"""Ikut ah, yg emot panda fr yuk. F"""
sad;Yang merasa cerdas mohon pm saya. :(
fear;Jadi gini aku tu gasuka kucing aku malem2 suka menggong apakah kemasukan jin
joy;Rame bet ini iklan di joox??
confused;mau ngechat cewe yang bikin posting pasti dah banyak yang ngechat trs harus apa akutu m19
joy;"""?? : """"lo udh berhasil bikin gue sedikit bucin, gue sampe nyari nyari aplikasi anon yg lo mainin tuh apa ta i ta i"""" wkwk ily bebe"""
sad;"""Suatu saat nanti pasti akan ada seseorang yang mampu membuatmu ingin kembali untuk bangkit, tak peduli seberapa seringnya dirimu terjatuh. -00.32"""
joy;Gaada yg mau fc apa ya? Syahdu loh.. M
joy;Bagi playlist kalian doooong!
netral;gengster tu org kurang kerjaan ya
sad;"""Kok ngga rela ya kalo dia deket sama yang lain, padahal cuma temen dari SMP...? M19"""
fear;mending beli ticket syncro yg Student Promo yg 3day pass atau tunggu semua line ups nya dulu ya? asli takut menyesal
love;is there any guy who loves paramore or bmth?
confused;"""Kok bisa ya, aku tuh convobuilder dan convokiller di saat yang bersamaan."""
joy;Vc yuk malam-malam gini... Clean kok santai... Mhere
sad;"""Kadang pengen minta di temenin tellizen buat nugas, tapi ujungnya tugas gak kelar2 malah asik chat an sampe baper :("""
joy;Temenan yuk cewe cowo terserah aku cewe 00L
joy;"""Untuk kamu, semoga kamu lulus stp ya! Biar kita ldr jkt-bdg, kan jadinya jarang ketemu tuh, nah nanti perasaan ini bakal ilang dengan sendirinya. Selamat berjuang!:)"""
joy;"""Buat yg suka berbahasa, bs mampir ke ig @another.shy hehe, sebentar lg akan upload tentang urusan hati """
netral;Udah tengah malam nih. Silahkan nanya privasi ke gue. gue bakal cerita sejujurnya apapun yang lu tanyain.
sad;Yaelah maintenance sampe jam 5 lagi haha.
joy;"""Everytime I close my eyes, I can hear the sound of the waves and the wind blowing."""
joy;Saur sambil nonton SNK. Mantap makan sambil lihat titan
sad;"""Newbie here, buta istilah-istilah anak tell. Mohon dijelaskan ke saya"""
anger;"""Sebenarnya, hatimu untuk siapa, sih? -00.34"""
joy;Yaaa gua akuin emang gua suka mengkhayal wkwkwk (yg bener bener kok).
love;"""udah dulu ya syg2ku smuanya, dd mau tidorr dadah mwah -f"""
sad;"""Bersyukurlah, jika rindumu hanya terhalang jarak saja, bukan jasad ??"""
sad;Tidur aja males. Dasar aku
fear;Story diline seru ga si? pengen update tapii takut gaasik hadeu
netral;Ada yang mau fc? M20 clean
netral;F Bandung ada yg besok ga puasa?
sad;"""maaf ya, aku tidak pandai dalam menaklukanmu """
sad;Please yang tau. Skincare routine buat cowok donk! Insecure nih gw sama muka kusam. :(
sad;"""Nonton aladdin yuk, gamau sendirian:("""
joy;tapi sebisa mungkin aku pandai dalam melakukan hal yang membuat kamu tertawa
joy;pengen kerasukan emma watson
netral;ada yg nonton shawn ga oktober nanti?
netral;Move yu clean tapii -f18
sad;Why'd you only call me when you're high
netral;Kasih tau dong nge on off private post itu gunanya apa ya? Apakah kalau nge on nin jadi postannya engga bisa dilihat siapa2 gt?
netral;halo warga tell dah lama ga nongkrong disini
netral;Cewek ada bulket nya wajar ga si?
anger;astagfirullah gimana sih caranya biar tidurr
netral;karena gaada yg dapet yaudh ganti jadi icon koala. khusus f di bandung ya
joy;(+)37D42EF cantikk??add ya buat tambahin kontak??
sad;Mau ngajak dia buat nonton aladin taoi dianya gamau:(. Kudu kumaha aing teh:(. Male
sad;Gue buka tell cuma liat TL dan ramein kolom komentar. Jarang chatan karna emang sepi chat wkwk
disgusted;"""Kenapa sih kalo abis post mes3um ada aja yg nanya f/m, gue jawab aja fm."""
sad;Semua ini tetang kesepian atau aku memang benar-benar meridukannya?
joy;Ada yg kaya gue ga minun air putih sm es batu aduh segernya ampunn
joy;Ada f yang mau fr kah? Wkwk M21
netral;Rekomendasi drama thailand?
netral;car fr tp yang badword adagasi wkwk M nih.
joy;Punya temen cewe dn bisa dipeluk itu rasanyaaaa.. ?? M
joy;"""""""Jika aku berdosa karena mencintaiMu, maka aku tidak akan pernah bertobat"""" -Ali bin Abi Thalib r.a"""
sad;titik terendah mu dlm hidup
netral;"""yang gabut next pc wa dong, tp yg wajar2 aja wkwk f18"""
netral;Np: Man on a wire - The Script
netral;ada ungkapan manis yg pingin kalian sampein ga ke pacar/gebetan kalian?
joy;cewe tinggi move line yuk hehe . m21
netral;Ada f25+ yang masih melek? M26
joy;one day you'll have your last young and wild saturday nights with the people you've made a million memories with
sad;Tuan apa kabar ? Aku disini baik-baik saja bahkan aku sudah tidak merindukanmu. Aku harap kamu baik2 saja dengan wanita pilihanmu :)
netral;Love art and meme. Anyone same? -m
joy;VC sama cowo GoodLooking yukk.. biar besok yg puasa jd lebih semangat ^_^ -M23 here.
confused;Kenapa banyak yg bilang suara gua kaya om om
sad;Aku tu gasuka ya klo aku suka sama kmu tpi kmu gasuka aku
joy;fr yuk move line - m21...
joy;"""f21, open jasa nemenin jalan-jalan??"""
sad;Kakak adek kok sayang2? Kakak adek kok peluk2? Kakak adek kok cium2? Kakak adek kok.......masa jahiliyah main rp :( kangen oppa2an :(
joy;SAATNYA NUGAS YAYYYY YUHU
netral;"""sambil nunggu sahur, chat line kuyy f21"""
fear;"""Perempuan kalo sudah mulai kepo, skill ngestalknya melebihi agen FBI, jd hati-hati, ya. -00.39"""
netral;Hyyyyyyyyyy Gyyy pHaaa Nieech
sad;"""Astaga gue boros banget, kemarin mcd sekarang kfc :)"""
sad;"""kangen ke coffeeshop, sungguh."""
joy;"""Chat yang agak """"seru"""" yuk.. M"""
confused;Aneh ga si suka sm 2 orang disaat yg sama?tp ini yg baru 'suka' doang
joy;"""ada kakek kakek nyari sugar cucu ga? aku mau deh, kali aja dikasi sawah wkwkwk"""
netral;Fr tuh artinya apaan ya?
netral;fr yuk? -f ??????????????
sad;"""Kerjaan gue selama bulan puasa, nontonin ASMR mulu :(("""
netral;Kucing bisa ngentut ga?
confused;"""Bingung sama f disini, ngajakin chat tapi gamau nyari topic :("""
joy;Midnight chat with honey's icon maybe? F20
sad;"""Cinta itu sederhana, ketika keduanya saling berusaha. Jika hanya salah satu yang berusaha, itu bukan cinta. """
netral;gofood jam segini ada yg ambil ga ya?
sad;capeee baru balik rapat. temenin chat dong haha. clean chat ya. f18
netral;"""Buat yg suka berbahasa, cewe2 galau bs mampir ke ig @another.shy hehe, sebentar lg akan upload tentang urusan hati """
sad;"""gabut nih, chat kuyy, f18 here"""
sad;"""Anon gue sekarang lama mulu blsnya, apa ada anon baru? """
love;"""udah lama ga di ajak move line, aku aja deh yg ngajak gmn? send id ya love, mwah"""
sad;And even when I need space And don't mean the words that I say Please don't go too far away So when it feels like we're breaking Will you know how to hate me And love me again
anger;"""Aku kesel, disaat aku pengen fc, dia engga bisa. Giliran dia pengen fc aja, aku jabanin trs hm"""
sad;Loving my self is the hardest thing i've ever had to do but im trying to. Gausah sok peduli gua M
netral;Apa si yang buat kalian senang?
confused;"""Kalo chat sama stranger ato orng yang mau di pdkt lancar banget, giliran sama pacar malah bingung Pertanda apakah ini"""
netral;siapa yang silent semua group wa angkat kakiii
netral;"""bagi kaum hawa, memakai b r a seharian terasa menyiksa dan tidak nyaman. di samping semua itu, benarkah memakai b r asehari penuh buruk bagi kesehatan? """
anger;TAWURAN SINI KITA GAN TP GUE NONTON DOANG. -f
netral;Caranya tau cowo tuh cuma manasin doang gimana sih?
netral;Freecall via WA/Line/Skype kuy F.. atau OTP tp Tsel yaa.. M23
confused;I don't know how to respond to that... or I guess it's more like I'm not sure if I should
sad;"""Kamu selalu nungguin dia online, kan? Tapi pernah ga sadar onlinenya dia sama sekali bukan untukmu. -00.42"""
sad;Gada yg mau nemenin aku gitaran apa? .m
netral;Udh berapa kali kamu liat storry snapgram dan snapwa apdet bukber sama tmen2 nya
sad;"""Kenapa bagian gua yg bu gak ada yg nolong sih, bagian orang2 pada bu kalo gua lg ada pasti ditolong:(( sedih gua tuh"""
joy;whaaa tell skrg keren tampilannya
netral;Tolong gambarkan diri gue
joy;Freecal lewat apa aja yuk gue jabanin Mhere
joy;fake relationship? preferably yang humoris lol F19
joy;Vc yukkk.... hehe.. gabut bat dah -M
joy;Chat yukk bebas f hereee
sad;leaving isn't better than trying.
sad;Kadangkala hanya butuh pendengar setia segala keluh kesah kita. Jadi pendengar saja cukup kok.
joy;"""Baru bangun dan dengerin Instrumental & Jazz music di laptop, dengan suasana yg tenang g ada suara knalpot motor, anak² yg nyalain kembang api, toa mesjid, dan kokok."""
sad;"""Aku gabisa tidur kalo tdr acnya dibawah 20/21, aku gabisa tdr kl blm minum susu bear brand, aku gabisa tdr kl blm liat hp. """
netral;Ada yang tau cara pake tinder?
joy;"""eh ada yg main mobel lejen? mabar yukkk, br donlot lg ni ehe -f"""
joy;chatt yuuk?M18 bintaro nih
sad;WiFi kenapa engkau tak bersahabat:((((
joy;f ada yang ingin? kuy skrrrt
netral;Ada yg bisa deskripsikan gue
joy;chaaaaaattttt? im female!
sad;Galau bgt anjirrrrrrrr
joy;"""Promotting_____goods and services, the company salesmen also bid an opportunity to earn some profit."""
sad;mau tidur tp takut kesiangan saurnya. tp kalo gatidur gatau hrs ngapain huhuu sad -f17
joy;Reddoorz kuy .m20 jaksel
netral;Planetarium dimana ya ada yang tau?
joy;BARU TAU KALO MAHASISWI UT BISA SETANGGUH & SECANTIK ITU. HEBAT! ???? [KANG OJOL]
sad;Mo ngajakin warga tell bukber tapi aku sendiri jg miskin. Gasanggup
netral;"""comment klo lu bisa nebak tmpt lahir gua, gua kasih ig gua, tapi klo gua bisa nebak tempat lahir lu, lu kasih ig ke gua, sok comment"""
confused;"""Abis baca wattpad ,,,,, hm"""
netral;udh pd tw blm klo line ada fitur story nya?
joy;"""f21, open jasa nemenin ngopi??"""
joy;enaknya sharing setan nihhh
sad;"""Gua rasa hukum karma emng ada yah, gua diem diem chatan smaa cwe lain di wa dan tell hmm, eh tau taunya cwe gua juga ternyata dan kita saling nutupin :)) pas ketauan cukup"""
joy;Open Q&A !!! Iseng-iseng aja. Gabut banget. Silahkan guys tanya apa aja di kolom komen
joy;"""hago yuk f, m 20 disiniiii"""
netral;Bagaimana caranya untuk memulai pdkt yg baik dan benar?yg ga bikin target kita risih sama kita?
love;Lemah banget sama cowo yang cinta kucing.
sad;ih kok sepi sihhhhhhhhh
sad;Kamar gue kayaknya terlalu luas untuk dipake tidur sendiri .. gada yg mau kesini temenin tidur gitu? :( -M
netral;Line me M kuy yg ***** atau sebagainya
joy;"""Mau cerita kenal sama stranger, tapi berasa kaya udah kenal dari lama :) Dia seru banget diajak ngbrol, sering ngingetin buat aku biar percaya diri."""
anger;"""Biasanya dr jam 10 telfonan smpe saur ditemenin, nah skrg sklinya dia ngilang auto negatif thinking sialan-_- hadeuuuuu alay bgt gue najis bucin ewh"""
netral;Kok pas gue mau nge react ig story temen gue kok pas dipencet reply gak muncul ya emot emotnya?
netral;kerjaan lulusan psikolog di tahun ini peluang nya gimana? ada yang tau?
joy;Suka ngayal.. Gua nikah gitu trs nungguin suamik pulang wkwk. Cute sekali?
anger;"""Ngajak vcs, ps, hs, soft swing, minta pap tt. Udah kek ngajakin beli chatime pake promo grabfood, ngegampangin bgt."""
netral;rekomend tempat facial yg bagus dong didaerah jaksel...
disgusted;Kenapa sih ngajakin bukber tapi nyari tempat yg bagus wkwk mau bukber apa foto sih?? kalo foto mah ga pas bukber bisa. Lagian sebenernya yg dibutuh konten story bukan
sad;Gua gabut. Chat yuu. M18
sad;"""Maap sheyenk, jhonwick lebih menarik ktimbang kamu nyosor2"""
sad;"""Skrng lg usum kan kalau ada yg ultah pd ngesgin temen2 yg ngucapin trs kmrn aku ultah dan ga ngepost apa2 di sg. Hasilnya keliatan mana yang inget mana yang engga:"""")"""
netral;Cowok biasanya sering nangis karena apa?
sad;Asli ya aku mau dichat tp maunya sm dia. Sm yg lain mah mls wkwk
netral;"""Buat yg suka berbahasa, bs mampir ke ig @another.shy hehe, sebentar lg akan upload tentang urusan hati """
confused;dosa gasi kalo dia chat aku kamu tapi gue nya kekeuh make lo gue?:)
sad;gabuttt bgttt ehh.. f21
netral;skrg tell ngk nongol notifny ya???
netral;Disini cowonya kebanyakan yg omes apa sholeh?
netral;Ada F yg suka di oral ga? Chat dong
confused;"""Lg suka sm cowo yg kata orang2 jelek tp menurut w menarik, ya walaupun ga cakep jg si tp enak dipandang gitu lho, apa cuma w aja yg nganggep menarik kali ya?"""
sad;"""you're the reason why i can't listen to those same songs, i used too.."""
sad;Salah ga si kl gue ilfeel sm gebetan gue krn dia ga mau puasa grgr ga kuat kl ga ngerokok
netral;"""Ada f yg berhijab? Chat dong, """
netral;jadi pengen melihara macan sama gajah
confused;Masih agak bingung sama app tell M25
netral;Ada yg pengen nanya engga? Nanya apa gituuu
sad;Daripada sagne mending gue tidur
joy;"""f21, open jasa nemenin bobo??"""
disgusted;Herann sama yang masi suka nyosor nyosor di bioskop wkwk. Pihak bioskop punya kamera yang bisa lihat dalem gelap lhoo wkwkwk
netral;"""Gw mau ngobrol, ada yang mau fc? M23"""
netral;"""Lagi sngs, f yg mau chat. M"""
netral;Hai ada yang punya topik dan mau chat? F22
sad;Udah sebulan pisah ranjang :). M28
sad;"""Chat dia ga dibales, jadi kepikiran. Kalo ga chat, kangen. Dasar bucin ngaca napa sih gue siapanya"""
netral;Ada yang kuliah di uhamka pasar rebo?
netral;Night call m22........
joy;"""Gue buka jasa admin olshop yaa, dijamin fastresp. Dan gue jg buka jasa ketikk hehe murahh kok"""
sad;Pengen punya anak cewek:(
netral;lagu fav kalian dari peterpan/noah apa guys?
sad;"""Gw dulu waktu msh SD smpe SMP sering dipukul temen sekolah pdhl gw gasalah apa apa, skrng ada rasa pengen mukul mereka ?????? """
sad;"""Entahlah dia yang playing victim dan bercerita ke teman2nya seolah gua yang bikin kecewa, atau memang dia kecewa sama suatu tindakan gua."""
netral;Ehh kalian dom mana aja nih?
sad;"""Butuh ngobrol nih biar ngantuk, prefer yg sama umurnya ya"""
anger;Sebel bgt lain kali gamau berharap lah ya biar gak dikecewain. Mulut manis tanda banyak bullshit.
joy;Gue nonton Let's Fight Ghost :))
sad;"""Gabisa tidur,chattt kuy f"""
joy;"""Diumur segini mah udah ga ngarep di surprisein, ngapain juga. At least inget aja, udah happy ko"""
fear;Ihh astaga gila gw kan fc ama cowo sini eh dia malah mesum anjer aelah asataga takut gw
sad;Mau dinyanyiin naif - benci untuk mencinta??
netral;Coba aja Tell ada fitur night modenya
sad;"""Gabisa tidur, chatt kuyy. F17"""
joy;cowo manja ada ga hehe. sini km!????
sad;"""pengen dah fran sama cowok posesif, tapi anon aja huhu. fff"""
netral;Gonjabi = gondrong jaman nabi
sad;"""Gatau ah capek, mau jadi buah-buahan aja. """
netral;Tell tuh gada tempat notifikasi nya ya?
netral;Emang bener kalo mata silinder ngelahirin gabisa normal?
netral;teman ngobrol awet? okay. M28
sad;gue lagi pengen nangis tapi ga ada yang bikin gue sedih. biar nangis ngapain ya
netral;Anyone up for a chat? Clean. F
anger;"""Ah sue bat dah,gua beli lilin aromatherapy gada wangi2nya anjr. Padahal gua bakar 3 sekaligus"""
joy;Ada yang tau mordelente?hahahaha.m23
joy;/Tersenyum/ lalu /tertawa/
netral;"""lets have a midnight talk? gak ***** plis, f17 here """
confused;Tidur ga ya :(( mau tidur tapi ko nanggung
sad;Please nyanyiin aku sebuah lagu barat plis. F
netral;wow i set my alarm for 01:20 but i havent sleep yet
joy;f21. open jasa pacar online??
netral;Kalau orang (maaf) kaya raya ada yg main app beginian ga?
sad;Sepi ya ga ada f yang masih bangun
